source_bigram,target_bigram,count
NN→VBZ,NN→.,8
NN→.,NNS→.,8
VBZ→RB,NN→NN,8
TO→VB,NN→.,8
PRP→VBP,NN→.,7
DT→NN,NN→.,7
TO→VB,NN→NNP,7
TO→VB,NNP→NN,7
DT→JJ,NN→NN,7
RB→VB,NN→.,7
JJ→NN,JJ→NNS,7
NN→VBZ,NN→NN,7
JJ→NNS,JJ→NN,6
",→CC",JJ→NNS,6
VBP→RB,JJ→NNS,6
VBP→RB,NN→.,6
JJ→NN,JJ→JJ,6
JJ→NN,NN→RB,6
NN→VBZ,IN→NN,6
DT→NN,JJ→NNS,6
NN→VBZ,NN→NNP,6
TO→VB,JJ→NNS,6
NN→.,NNP→NN,6
JJ→NNS,NN→IN,6
NN→.,NNS→IN,6
VBZ→RB,NN→NNP,6
",→CC",VBG→JJ,6
VB→.,NN→.,6
DT→NN,IN→NN,5
DT→NN,JJ→NN,5
JJ→NNS,IN→NN,5
NN→.,NN→RB,5
JJ→NN,DT→NN,5
",→CC",NN→CC,5
"NN→,",CC→JJ,5
"NN→,",JJ→NNS,5
"NN→,",NN→.,5
"NN→,",NN→CC,5
NN→VBZ,JJ→NNS,5
RB→IN,NN→.,5
